member_id,full_name,gender,branch,occupation,phone_number,join_date,monthly_contribution_kes,member_status,national_id
MEM0029,George Mureithi,Female,Mombasa,Engineer,0700289401,2021-08-23,2000,Inactive,21087372
MEM0030,Wanjiru Kimani,Female,Nairobi,Small Business Owner,0733181140,2021-12-07,500,Active,12450338
MEM0031,Boniface Onyango,Female,Mombasa,Police Officer,0729985652,2021-01-21,2000,Active,16095961
MEM0032,Caroline Munyao,Female,Nairobi,Accountant,0701979037,2020-05-09,1000,Active,31737898
MEM0033,Calvin Wambua,Female,Nakuru,Farmer,0712509783,2019-03-28,500,Suspended,29301306
MEM0034,Kamau Muturi,Female,Kisumu,Engineer,0733614889,2020-07-08,3000,Active,21402122
MEM0035,Edwin Achieng,Male,Mombasa,Engineer,0722533843,2021-04-21,5000,Active,25235291
MEM0036,Sharon Kamau,Female,Nairobi,Police Officer,0733610150,2019-07-24,2500,Active,27707142
MEM0037,Eric Kyalo,Female,Nairobi,Small Business Owner,0733320511,2022-07-16,1000,Active,36209800
MEM0038,Adhiambo Munyao,Male,Kisumu,Police Officer,0720493482,2022-11-16,500,Active,33239335
MEM0039,Rotich Akello,Female,Nakuru,Farmer,0701764327,2018-01-14,2000,Active,34812113
MEM0040,Florence Ogola,Male,Kisumu,Farmer,0729947825,2022-04-04,1500,Suspended,37521631
MEM0041,Irene Kuria,Male,Nairobi,Teacher,0711288540,2022-07-09,1000,Active,24508841
MEM0042,Hellen Otieno,Female,Kisumu,Shopkeeper,0700110632,2018-11-23,1500,Active,39843210
MEM0043,Gregory Nderitu,Female,Nairobi,Engineer,0711791710,2021-11-30,500,Inactive,10720867
MEM0044,Ian Maina,Male,Kisumu,Engineer,0722222900,2020-05-15,3000,Active,23470965
MEM0045,Agnes Munyao,Female,Kisumu,Driver,0701463629,2019-11-28,1000,Active,29285001
MEM0046,Laban Gitau,Male,Kisumu,Shopkeeper,0729743830,2019-07-24,2000,Active,19858754
MEM0047,Rotich Achieng,Female,Nairobi,Police Officer,0722266082,2018-11-15,1000,Active,10213203
MEM0048,Fredrick Kuria,Female,Nairobi,Driver,0700227500,2019-03-17,1500,Active,30927555
MEM0049,Mutua Mwangi,Male,Mombasa,Farmer,0712735553,2023-05-15,1500,Active,37790540
MEM0050,Emmanuel Mulwa,Female,Kisumu,Nurse,0722661988,2022-04-13,1000,Inactive,23084466
MEM0051,Daniel Chepkemoi,Female,Nairobi,Accountant,0722643157,2019-11-21,5000,Active,10633227
MEM0052,Collins Wambua,Male,Mombasa,Driver,0711326813,2018-07-29,2500,Active,10286484
MEM0053,Tabitha Kabiru,Female,Nairobi,Police Officer,0701220364,2018-07-09,3000,Active,17557462
MEM0054,Samuel Mureithi,Female,Mombasa,Teacher,0712130930,2020-02-18,3000,Inactive,20817422
MEM0055,Tabitha Kabiru,Female,Mombasa,Farmer,0701245295,2018-07-18,2000,Inactive,24332763
MEM0056,Mary Chebet,Male,Mombasa,Police Officer,0712187496,2020-01-06,3000,Inactive,15049771
MEM0057,Wambua Gicheru,Male,Nairobi,Nurse,0711380589,2022-10-02,500,Suspended,18685663
MEM0058,Chepkemoi Kirui,Male,Kisumu,Police Officer,0700604967,2019-12-06,1000,Active,38708320
MEM0059,Fredrick Mwenda,Male,Mombasa,Teacher,0712196437,2021-05-21,500,Active,17478946
MEM0060,Lucy Gicheru,Male,Nakuru,Shopkeeper,0701842479,2019-06-26,1000,Active,29608420
MEM0061,Alice Gathogo,Male,Kisumu,Police Officer,0700589730,2022-07-11,1500,Active,32633749
MEM0062,Duncan Waithaka,Female,Nairobi,Nurse,0729557244,2018-03-30,1000,Active,35762382
MEM0063,Atieno Otieno,Female,Kisumu,Farmer,0720302432,2022-02-03,2500,Active,20959524
MEM0064,Sharon Kimani,Female,Kisumu,Shopkeeper,0700281361,2020-07-29,1500,Active,27863180
MEM0065,George Kirui,Female,Mombasa,Engineer,0712820431,2021-01-03,1000,Active,25359652
MEM0066,Achieng Aoko,Male,Nakuru,Teacher,0700511907,2018-09-13,1500,Active,31931602
MEM0067,Rose Gathogo,Male,Nairobi,Small Business Owner,0733711999,2023-06-16,1000,Active,32327181
MEM0068,Fredrick Ojwang,Female,Kisumu,Driver,0700273699,2023-03-04,2500,Active,16722011
MEM0069,Ndegwa Gitau,Female,Kisumu,Driver,0712857135,2020-02-15,500,Active,35834490
MEM0070,Robert Anyango,Female,Mombasa,Driver,0729554527,2018-06-11,5000,Inactive,37565796
MEM0071,David Maina,Female,Nairobi,Driver,0729544320,2021-02-04,2500,Active,29274954
MEM0072,Michael Achieng,Female,Kisumu,Engineer,0700955524,2019-08-24,1000,Active,21899921
MEM0073,Hellen Musyoka,Male,Nairobi,Nurse,0701753169,2022-08-26,500,Active,39972279
MEM0074,Janet Munyao,Male,Kisumu,Farmer,0733736795,2021-07-11,2500,Active,39538360
MEM0075,Joshua Munyao,Female,Nakuru,Driver,0720550167,2021-06-20,2000,Active,33988213
MEM0076,Elijah Mwenda,Male,Nairobi,Driver,0712694691,2022-12-19,2000,Active,39099850
MEM0077,Moses Okumu,Male,Mombasa,Nurse,0701492125,2022-10-31,2500,Active,29356078
MEM0078,Eric Maina,Female,Kisumu,Teacher,0733571233,2020-01-11,500,Active,15120566
MEM0079,George Odero,Female,Mombasa,Civil Servant,0711135399,2021-03-28,1500,Active,16336666
MEM0080,Mary Mbugua,Female,Mombasa,Engineer,0700715377,2019-01-29,1000,Active,35937307
MEM0081,Purity Oguta,Male,Mombasa,Shopkeeper,0720407729,2021-12-13,3000,Active,14975578
MEM0082,Gerald Adhiambo,Female,Nairobi,Civil Servant,0701517654,2018-05-23,2000,Active,16917050
MEM0083,Atieno Kariuki,Female,Nairobi,Shopkeeper,0722220219,2018-04-04,1000,Active,20350927
MEM0084,Patrick Ogola,Female,Mombasa,Civil Servant,0711948340,2021-09-16,500,Active,16093039
MEM0085,Christine Gitonga,Male,Mombasa,Nurse,0701550244,2019-04-12,1000,Inactive,13385524
MEM0086,Brian Gitonga,Male,Nakuru,Engineer,0711475122,2022-05-03,1000,Active,10879947
MEM0087,Simon Ouma,Male,Nairobi,Small Business Owner,0712176168,2019-08-16,2000,Active,27898673
MEM0088,Philip Auma,Male,Nairobi,Engineer,0712788866,2018-06-13,2000,Inactive,30197132
MEM0089,Wanjiru Gathogo,Female,Kisumu,Engineer,0701490032,2022-10-18,3000,Active,38343372
MEM0090,Gerald Muthoni,Male,Nakuru,Engineer,0711917380,2019-04-22,1500,Active,11323809
MEM0091,Boniface Awino,Male,Nakuru,Police Officer,0701228244,2022-11-10,1000,Active,36154445
MEM0092,Gerald Waithaka,Female,Mombasa,Nurse,0722434064,2018-07-26,2000,Active,14272269
MEM0093,Kevin Kamau,Male,Nairobi,Nurse,0722851622,2020-02-18,2500,Active,28121951
MEM0094,Gerald Kamau,Male,Nairobi,Accountant,0701324156,2019-07-24,2000,Active,21694377
MEM0095,Joseph Kamau,Male,Kisumu,Civil Servant,0729695034,2020-07-17,2500,Inactive,12324210
MEM0096,Edward Ouma,Female,Nakuru,Accountant,0701343949,2021-07-25,1500,Inactive,20987769
MEM0097,Atieno Ndegwa,Female,Nairobi,Police Officer,0733504321,2022-09-05,1500,Active,39211013
MEM0098,Kamau Mwenda,Female,Mombasa,Police Officer,0700731035,2020-01-18,1500,Active,20580928
MEM0099,Dennis Ngethe,Male,Nakuru,Civil Servant,0712652874,2018-11-30,500,Active,17721004
MEM0100,Emmanuel Kabiru,Male,Nairobi,Shopkeeper,0712207919,2020-01-29,1000,Inactive,32084421
MEM0101,Francis Otieno,Female,Mombasa,Small Business Owner,0700851058,2019-12-29,500,Active,17006408
MEM0102,Grace Onyango,Male,Nairobi,Civil Servant,0733701828,2019-03-06,2000,Active,16767976
MEM0103,Agnes Gakuya,Female,Nairobi,Civil Servant,0720815267,2021-10-04,1000,Active,20164627
MEM0104,Allan Rotich,Male,Nairobi,Driver,0720433219,2019-07-01,1500,Active,15479066
MEM0105,Harrison Rotich,Male,Kisumu,Shopkeeper,0701307775,2021-12-08,3000,Active,24236596
MEM0106,Beatrice Chepkemoi,Male,Kisumu,Small Business Owner,0712152072,2023-04-03,1000,Active,19095866
MEM0107,Moses Waithaka,Male,Mombasa,Engineer,0729622873,2021-10-31,1500,Active,17817472
MEM0108,Michael Waithaka,Male,Nairobi,Civil Servant,0722387745,2021-08-20,2500,Active,17289224
MEM0109,Philip Kuria,Female,Nairobi,Police Officer,0720225052,2018-05-27,1000,Inactive,35915609
MEM0110,Wanjiru Wambua,Male,Nakuru,Engineer,0733574779,2021-06-01,500,Active,21923391
MEM0111,Ndegwa Kyalo,Female,Kisumu,Teacher,0711730645,2021-07-24,1000,Active,10915916
MEM0112,Tabitha Ogol,Male,Nairobi,Police Officer,0701719887,2018-12-17,1000,Suspended,14607431
MEM0113,Gregory Okello,Female,Nakuru,Civil Servant,0720347906,2020-12-29,3000,Active,39448630
MEM0114,Philip Mugo,Male,Nairobi,Driver,0722398882,2022-02-02,2500,Active,24751902
MEM0115,Esther Mureithi,Male,Kisumu,Nurse,0722774933,2019-05-17,2000,Active,14130889
MEM0116,Agnes Oguta,Male,Nairobi,Farmer,0722584202,2018-12-01,3000,Active,37989672
MEM0117,Rose Akello,Male,Nairobi,Small Business Owner,0700237424,2020-08-04,2500,Active,22586735
MEM0118,Agnes Maina,Female,Nairobi,Farmer,0720138805,2020-02-17,1000,Active,10853084
MEM0119,Alice Gicheru,Female,Mombasa,Accountant,0722453778,2019-07-07,3000,Active,24896572
MEM0120,Alex Mutua,Female,Nakuru,Teacher,0722172827,2023-03-11,1500,Active,39109569
MEM0121,Duncan Njeri,Female,Mombasa,Civil Servant,0729199740,2021-08-03,2500,Active,34962563
MEM0122,Edwin Auma,Male,Nairobi,Accountant,0720858386,2021-11-10,3000,Active,38661796
MEM0123,Charles Mulwa,Male,Nairobi,Civil Servant,0700388016,2021-02-14,1000,Active,34827352
MEM0124,Joyce Yego,Female,Nairobi,Nurse,0701890303,2019-03-26,1000,Active,16998929
MEM0125,Mwikali Odero,Female,Kisumu,Engineer,0701519791,2021-11-03,1000,Inactive,22764661
MEM0126,Mercy Ndegwa,Female,Kisumu,Small Business Owner,0733683480,2019-10-27,1500,Active,11651357
MEM0127,Alex Maina,Female,Nairobi,Accountant,0701617806,2022-09-23,2500,Active,24992535
MEM0128,Joyce Otieno,Male,Nairobi,Driver,0722512433,2022-04-23,3000,Active,24715190
MEM0129,Esther Wambua,Female,Mombasa,Police Officer,0700830288,2022-05-09,500,Active,23394197
MEM0130,Rotich Kabiru,Male,Nairobi,Driver,0729617300,2018-04-25,1500,Active,16665176
MEM0131,Purity Wanjiku,Male,Nairobi,Police Officer,0733984028,2019-04-15,1500,Active,16899873
MEM0132,Achieng Kirui,Male,Kisumu,Driver,0701747995,2022-08-11,1000,Suspended,35869921
MEM0133,Kariuki Odhiambo,Male,Nairobi,Nurse,0733130710,2018-03-07,1000,Active,22767625
MEM0134,Peter Okumu,Female,Kisumu,Accountant,0712150157,2022-07-07,1000,Suspended,29804402
MEM0135,Simon Kirui,Male,Kisumu,Police Officer,0722245473,2019-10-09,3000,Active,37330065
MEM0136,Mwangi Akello,Male,Nakuru,Accountant,0733438542,2020-04-01,1000,Active,14182537
MEM0137,Isaac Odhiambo,Male,Nairobi,Farmer,0720337336,2019-07-03,1500,Active,13115589
MEM0138,Adhiambo Mulwa,Male,Nakuru,Small Business Owner,0711192292,2018-05-16,2000,Active,15875273
MEM0139,Wangari Odero,Male,Kisumu,Police Officer,0712859282,2019-03-09,1500,Active,27002142
MEM0140,Janet Mutua,Male,Nairobi,Teacher,0701955792,2023-02-14,5000,Active,29404646
MEM0141,Mwikali Ngethe,Male,Kisumu,Civil Servant,0722821673,2023-04-16,5000,Active,34310801
MEM0142,James Okumu,Female,Mombasa,Civil Servant,0722372302,2021-03-07,1000,Active,27330736
MEM0143,Gregory Ndolo,Male,Mombasa,Nurse,0722216185,2022-11-30,1500,Active,14083700
MEM0144,Catherine Ogola,Female,Nairobi,Civil Servant,0722419071,2022-01-10,1000,Inactive,15465446
MEM0145,Brian Nderitu,Female,Kisumu,Police Officer,0733376537,2019-10-07,1000,Active,35387496
MEM0146,Janet Njoroge,Female,Kisumu,Driver,0701821338,2019-03-12,500,Active,17034283
MEM0147,Calvin Onyango,Male,Nakuru,Engineer,0720383023,2021-09-04,2000,Active,14038555
MEM0148,Victor Awino,Male,Nairobi,Civil Servant,0711244455,2020-10-19,1500,Active,26411755
MEM0149,Daniel Kyalo,Female,Mombasa,Nurse,0729225725,2020-03-21,500,Suspended,34851821
MEM0150,Irene Njeri,Female,Kisumu,Civil Servant,0711434844,2022-12-17,1000,Active,30295344
MEM0151,Charles Kariuki,Male,Nairobi,Police Officer,0711889614,2023-02-16,3000,Active,22025584
MEM0152,Rose Muthoni,Male,Kisumu,Police Officer,0720767841,2021-08-09,1000,Active,35155173
MEM0153,Joshua Okumu,Female,Kisumu,Police Officer,0729800695,2020-07-28,1000,Inactive,20632714
MEM0154,Joyce Ogola,Male,Mombasa,Shopkeeper,0733647108,2018-10-20,1500,Inactive,23929379
MEM0155,Duncan Kimani,Female,Mombasa,Driver,0712705956,2019-06-27,5000,Active,16408263
MEM0156,Calvin Ojwang,Male,Kisumu,Engineer,0729793390,2018-10-13,1000,Active,17057418
MEM0157,Francis Korir,Male,Mombasa,Civil Servant,0729394169,2019-05-21,2000,Active,13046439
MEM0158,Peter Muthoni,Male,Kisumu,Nurse,0701910175,2022-03-06,2500,Active,36836539
MEM0159,Grace Gathogo,Female,Nakuru,Engineer,0729336800,2021-02-23,1000,Active,27009083
MEM0160,Duncan Okumu,Female,Kisumu,Teacher,0733376626,2021-01-08,2000,Active,22074846
MEM0161,Joseph Muturi,Male,Nairobi,Nurse,0700845937,2019-06-23,1500,Inactive,26038312
MEM0162,Achieng Mwenda,Male,Nairobi,Teacher,0733470157,2022-03-10,2000,Active,18565927
MEM0163,John Otieno,Female,Kisumu,Civil Servant,0712791515,2021-04-12,2000,Active,27070322
MEM0164,Sharon Njoroge,Female,Mombasa,Accountant,0712828723,2020-05-27,1500,Inactive,13757839
MEM0165,Sharon Kariuki,Female,Nairobi,Shopkeeper,0733178794,2023-01-13,500,Active,25332823
MEM0166,Janet Rotich,Female,Nairobi,Driver,0729163194,2021-04-10,2500,Active,10541751
MEM0167,Mercy Kyalo,Female,Mombasa,Engineer,0712113765,2020-03-28,1000,Inactive,10243457
MEM0168,Gerald Kirui,Male,Nairobi,Police Officer,0712590891,2020-01-12,1000,Active,22751661
MEM0169,Laban Mwenda,Male,Nairobi,Engineer,0720297045,2019-03-26,500,Active,36958022
MEM0170,Esther Otieno,Female,Kisumu,Accountant,0729209612,2018-10-11,2000,Active,24093329
MEM0171,George Mulwa,Female,Nakuru,Engineer,0701318797,2020-11-09,2000,Active,23432119
MEM0172,Kariuki Wanjiku,Female,Kisumu,Teacher,0701897429,2020-10-07,500,Active,38772693
MEM0173,Eric Kariuki,Female,Nakuru,Teacher,0700842929,2018-07-06,1500,Active,13357658
MEM0174,Caroline Chepkemoi,Female,Mombasa,Farmer,0729787120,2022-03-28,1000,Active,21901122
MEM0175,Mary Gicheru,Male,Nairobi,Small Business Owner,0711988990,2018-04-07,2000,Active,22092763
MEM0176,Calvin Achieng,Male,Mombasa,Small Business Owner,0733236378,2022-10-30,1000,Active,20401260
MEM0177,Jacqueline Ouma,Female,Kisumu,Driver,0712481308,2018-08-13,2000,Active,38069444
MEM0178,Mark Gitau,Male,Mombasa,Civil Servant,0720574409,2018-11-10,1500,Active,12191292
MEM0179,Chepkemoi Mutua,Female,Mombasa,Engineer,0712917911,2021-07-09,3000,Active,24567619
MEM0180,Joyce Chebet,Female,Nairobi,Farmer,0720297083,2018-11-24,1000,Active,38447721
MEM0181,Achieng Ngethe,Female,Nairobi,Farmer,0733391334,2022-06-11,1000,Active,31877551
MEM0182,Joseph Njeri,Male,Nakuru,Driver,0720272172,2021-10-25,1000,Active,20089631
MEM0183,Henry Awino,Female,Nairobi,Civil Servant,0700705282,2020-05-14,3000,Active,17696005
MEM0184,Gerald Akoth,Female,Nakuru,Civil Servant,0733254444,2021-05-06,3000,Active,33528835
MEM0185,Lydiah Rotich,Female,Mombasa,Farmer,0729212379,2018-05-11,1000,Active,12833721
MEM0186,Kamau Korir,Male,Mombasa,Accountant,0733352248,2020-02-28,2000,Active,31824897
MEM0187,Lydiah Gakuya,Female,Nakuru,Nurse,0722583232,2020-02-21,2500,Active,31595026
MEM0188,Faith Gicheru,Female,Nakuru,Accountant,0711379714,2021-05-05,2000,Inactive,37184774
MEM0189,Brian Mutua,Male,Mombasa,Teacher,0722599374,2020-08-16,1500,Active,23075699
MEM0190,Catherine Mureithi,Male,Nairobi,Farmer,0729469053,2020-12-19,1000,Active,39391730
MEM0191,George Awuor,Male,Mombasa,Driver,0700224074,2019-05-30,500,Active,25816266
MEM0192,Hellen Ochieng,Female,Nairobi,Shopkeeper,0733471643,2023-06-12,3000,Active,10531838
MEM0193,Erick Gitau,Male,Kisumu,Civil Servant,0720322367,2021-02-07,3000,Active,19217943
MEM0194,Alex Murimi,Male,Kisumu,Accountant,0711516209,2022-10-29,2000,Active,34482290
MEM0195,Laban Kariuki,Female,Mombasa,Farmer,0720632599,2023-04-15,1000,Active,31721784
MEM0196,Lilian Ouma,Female,Mombasa,Small Business Owner,0701155739,2018-01-24,1000,Active,20847172
MEM0197,Calvin Oguta,Male,Kisumu,Shopkeeper,0729385830,2021-10-25,2000,Active,11522347
MEM0198,Paul Wanjiku,Male,Mombasa,Engineer,0701202564,2022-01-16,3000,Active,14722310
MEM0199,Duncan Kimani,Male,Nakuru,Nurse,0722780129,2018-08-23,3000,Suspended,38434522
MEM0200,James Odhiambo,Female,Nairobi,Accountant,0720867559,2021-10-28,2500,Active,18354990
MEM0201,Charles Onyango,Female,Nairobi,Engineer,0720303352,2022-12-18,2000,Active,15951159
MEM0202,Harrison Mbugua,Male,Nairobi,Shopkeeper,0700298652,2021-01-04,500,Active,28944136
MEM0203,Florence Munyao,Female,Nakuru,Farmer,0720285225,2022-03-18,1000,Active,10311182
MEM0204,Gregory Chepkemoi,Female,Kisumu,Small Business Owner,0700655286,2019-07-01,3000,Active,14293232
MEM0205,Robert Yego,Male,Nakuru,Accountant,0729643810,2022-04-24,2000,Active,27402067
MEM0206,Ndegwa Gitonga,Male,Nairobi,Driver,0720214488,2021-08-05,500,Active,15226381
MEM0207,Boniface Mwenda,Female,Nairobi,Nurse,0722777741,2019-11-28,1000,Active,14705014
MEM0208,Edward Gathogo,Female,Mombasa,Farmer,0712216478,2018-08-17,2000,Suspended,33322686
MEM0209,Charles Otieno,Male,Nakuru,Police Officer,0712220783,2019-08-25,500,Inactive,25764298
MEM0210,Allan Waithaka,Male,Nairobi,Civil Servant,0722137421,2020-06-09,1000,Active,35578135
MEM0211,Njenga Kilonzo,Female,Nairobi,Civil Servant,0700350365,2018-11-20,1500,Inactive,11308314
MEM0212,Edwin Onyango,Female,Nairobi,Small Business Owner,0733657980,2020-07-18,2000,Active,12052909
MEM0213,Calvin Nderitu,Male,Nakuru,Small Business Owner,0733388840,2018-01-07,2000,Active,30005302
MEM0214,Dennis Awuor,Male,Nairobi,Teacher,0712750348,2023-05-08,1000,Inactive,36923414
MEM0215,James Gathogo,Female,Kisumu,Nurse,0720510945,2022-01-18,2000,Active,17040578
MEM0216,Francis Rotich,Female,Nairobi,Small Business Owner,0720206225,2022-11-29,1000,Active,39069716
MEM0217,Atieno Ouma,Female,Nakuru,Driver,0712869575,2022-01-13,1000,Active,34825220
MEM0218,Mutua Owino,Female,Nairobi,Nurse,0700619225,2019-06-24,2000,Active,32177875
MEM0219,Mwikali Matheka,Male,Kisumu,Farmer,0712279337,2023-06-14,2000,Active,19834286
MEM0220,Thomas Musyoka,Male,Mombasa,Small Business Owner,0712464519,2020-10-22,2500,Active,22472317
MEM0221,Calvin Wainaina,Female,Mombasa,Small Business Owner,0700840140,2022-04-10,2000,Active,30721708
MEM0222,Tabitha Achieng,Male,Nakuru,Accountant,0700869531,2019-01-01,2000,Active,23920940
MEM0223,Francis Chebet,Male,Nairobi,Shopkeeper,0722198820,2020-11-05,500,Active,37623709
MEM0224,Winnie Munyao,Female,Mombasa,Police Officer,0711627685,2023-02-13,1500,Active,15284242
MEM0225,Achieng Gicheru,Male,Nairobi,Teacher,0729874992,2018-08-06,1000,Active,24067331
MEM0226,Paul Kariuki,Female,Nairobi,Shopkeeper,0700993978,2022-11-18,1000,Inactive,15785454
MEM0227,David Owino,Male,Nairobi,Farmer,0712278501,2021-07-04,5000,Active,15859861
MEM0228,Emmanuel Wainaina,Male,Kisumu,Shopkeeper,0701814544,2019-09-04,1500,Active,27401317
MEM0229,Christine Kabiru,Male,Nairobi,Shopkeeper,0733274740,2022-09-20,3000,Active,15079486
MEM0230,Brian Kyalo,Female,Nakuru,Accountant,0711448290,2021-08-01,2000,Active,34896270
MEM0231,Faith Ndegwa,Male,Nairobi,Civil Servant,0729248723,2020-11-05,2500,Active,37159547
MEM0232,David Gicheru,Female,Nairobi,Accountant,0722798384,2021-06-01,1500,Active,37189816
MEM0233,Paul Mwangi,Male,Nairobi,Small Business Owner,0729548709,2019-02-12,2000,Active,32436768
MEM0234,Duncan Chebet,Female,Nakuru,Farmer,0701121838,2018-11-10,1500,Active,16093977
MEM0235,Esther Gathogo,Female,Mombasa,Accountant,0711376648,2020-02-05,1000,Active,22249649
MEM0236,Alex Okello,Female,Nairobi,Farmer,0733279018,2022-04-11,2000,Active,39496943
MEM0237,Florence Njeri,Male,Mombasa,Police Officer,0722722859,2018-11-27,1000,Active,13670572
MEM0238,Gerald Okello,Male,Kisumu,Engineer,0701596846,2021-01-09,500,Active,36392466
MEM0239,Ruth Chebet,Male,Nakuru,Driver,0722612027,2023-05-07,2000,Active,15448357
MEM0240,Lydiah Mwenda,Male,Nairobi,Small Business Owner,0712595523,2022-05-14,1000,Inactive,11005966
MEM0241,Patrick Gathogo,Male,Nairobi,Engineer,0733147371,2023-03-05,3000,Inactive,26695188
MEM0242,Edward Njeri,Female,Nairobi,Engineer,0722694822,2020-12-22,5000,Active,16847684
MEM0243,Moses Ngethe,Male,Nairobi,Police Officer,0700975937,2023-02-25,3000,Active,20269831
MEM0244,Esther Munyao,Female,Mombasa,Accountant,0712650784,2018-01-02,1500,Active,23544390
MEM0245,Laban Mulwa,Male,Kisumu,Teacher,0711891666,2021-05-11,500,Active,30982005
MEM0246,David Odero,Male,Kisumu,Driver,0711912915,2019-10-26,3000,Active,22521981
MEM0247,George Gakuya,Female,Kisumu,Small Business Owner,0733204849,2020-09-27,1500,Active,38233537
MEM0248,Edwin Kyalo,Male,Kisumu,Shopkeeper,0700942942,2018-02-09,5000,Active,18898009
MEM0249,Charles Okumu,Female,Nairobi,Nurse,0701574602,2018-08-18,5000,Active,30867956
MEM0250,Lucy Korir,Female,Mombasa,Shopkeeper,0729870509,2023-03-18,3000,Active,20773413
MEM0251,Mark Muthoni,Male,Nairobi,Nurse,0701672223,2020-01-14,1000,Active,10955569
MEM0252,Calvin Ogola,Female,Nairobi,Teacher,0700795634,2022-12-05,1500,Active,36282143
MEM0253,Simon Njeri,Male,Kisumu,Farmer,0729365852,2022-08-31,3000,Active,10866712
MEM0254,Brian Chepkemoi,Female,Nairobi,Farmer,0701581035,2022-07-11,1000,Active,21126047
MEM0255,Peter Njoroge,Female,Mombasa,Farmer,0722967958,2019-09-22,1000,Active,10956196
MEM0256,Tabitha Korir,Female,Nairobi,Engineer,0701415761,2019-05-06,2000,Active,39823865
MEM0257,Michael Musyoka,Female,Nairobi,Police Officer,0701642985,2018-04-29,3000,Active,25787438
MEM0258,Mark Awuor,Male,Mombasa,Nurse,0729218238,2019-05-09,2000,Active,11148325
MEM0259,Hellen Awino,Male,Nairobi,Teacher,0700819096,2022-12-04,2000,Active,34660857
MEM0260,Thomas Kuria,Male,Nairobi,Driver,0722255084,2021-03-07,500,Inactive,39260410
MEM0261,Wambua Mugo,Male,Nakuru,Small Business Owner,0720997859,2023-04-24,2000,Active,14843273
MEM0262,Ndegwa Gitau,Female,Nairobi,Engineer,0712791396,2018-06-11,5000,Inactive,23678608
MEM0263,Rotich Mwenda,Female,Mombasa,Small Business Owner,0711474545,2018-06-25,1000,Active,11560262
MEM0264,Beatrice Aoko,Female,Nairobi,Small Business Owner,0729132405,2022-02-07,1500,Active,28101774
MEM0265,Boniface Mulwa,Female,Nairobi,Accountant,0712705640,2020-09-22,3000,Active,22651254
MEM0266,Mercy Munyao,Female,Nairobi,Nurse,0720476879,2022-07-30,2000,Active,35585331
MEM0267,Wanjiru Mureithi,Male,Nairobi,Driver,0712880523,2018-05-22,2000,Active,30082578
